job_id,skill_abr
3887845246,SALE
3887845246,BD
3887861594,SALE
3887861594,BD
3885818874,OTHR
3887870504,SCI
3887870504,CNSL
3884828215,SALE
3884828215,BD
3885817103,ADM
3885807989,MGMT
3885807989,MNFC
3884818841,EDU
3884818841,TRNG
3884821423,ENG
3884821423,IT
3885813448,DSGN
3885813448,ART
3885813448,IT
3884441875,HCPR
3884828214,MGMT
3884828214,MNFC
3887884048,OTHR
3887870414,LGL
3884823624,MGMT
3884823624,MNFC
3887716063,OTHR
3884828829,OTHR
3887715991,RSCH
3887715991,ANLS
3887715991,IT
3884433899,HR
3887701325,OTHR
3887858540,SALE
3887858540,BD
3885824808,FIN
3885824808,SALE
3884818995,OTHR
3887715959,ENG
3887715959,IT
3884440852,CUST
3884810486,FIN
3884820659,ENG
3884820659,IT
3884443163,SALE
3884443163,BD
3885808432,OTHR
3884825052,OTHR
3887717340,WRT
3887717340,ANLS
3884813159,MGMT
3884813159,MNFC
3884814709,HCPR
3884443161,MGMT
3884443161,MNFC
3885813291,MGMT
3885813291,MNFC
3887887680,EDU
3887887680,TRNG
3887834891,MGMT
3887878829,LGL
3885820652,QA
3885820652,SCI
3885820652,ENG
3887857765,SALE
3887857765,BD
3884818992,OTHR
3887857605,OTHR
3885834160,MGMT
3885834160,MNFC
3884835624,HCPR
3887857603,OTHR
3884821977,SALE
3884821977,BD
3887890716,BD
3887890716,SALE
3887723182,ADM
3887713975,CUST
3884829737,SALE
3884829737,BD
3887709788,HCPR
3885818787,ADVR
3885818787,MRKT
3887856923,SALE
3887856923,BD
3884824205,OTHR
3887709850,OTHR
3887844289,SALE
3887844289,BD
3887885054,ACCT
3887885054,FIN
3884829691,HCPR
3884817273,ENG
3884817273,IT
3884441652,ADM
3884441652,LGL
3887724130,ADM
3884838249,ENG
3884838249,IT
3885831429,FIN
3885831429,SALE
3887871328,HCPR
3887892853,OTHR
3885840841,IT
3887855710,OTHR
3884825412,OTHR
3887894186,OTHR
3885828137,DIST
3885837173,HCPR
3884820105,MNFC
3887869555,IT
3885839483,SALE
3885839483,BD
3884440992,ENG
3884440992,PRJM
3884846375,EDU
3884846375,TRNG
3884819153,HR
3887886498,OTHR
3887861536,SALE
3887861536,BD
3884823059,SALE
3884823059,BD
3888009718,SALE
3888009718,BD
3885814188,MGMT
3885814188,MNFC
3887718476,ENG
3887718476,IT
3884441874,HCPR
3884817299,HCPR
3885841813,HCPR
3887488819,LGL
3887488819,ADM
3885844196,IT
3885836221,HCPR
3885839866,IT
3884827295,MGMT
3884827295,MNFC
3887858818,SALE
3887858818,BD
3887858819,SALE
3887858819,BD
3884447010,SALE
3884447010,BD
3885843703,RSCH
3885843703,ANLS
3885843703,IT
3884823159,FIN
3884823159,CNSL
3884823159,ACCT
3887885628,MGMT
3887885628,MNFC
3885828075,FIN
3885828075,SALE
3885840095,OTHR
3887719135,BD
3887719135,SALE
3888008592,BD
3888008592,SALE
3887859828,SALE
3887859828,BD
3887715212,ACCT
3887715212,FIN
3887715212,STRA
3884841949,EDU
3884841949,TRNG
3885833882,HCPR
3884437755,HCPR
3884444031,LGL
3885829724,MRKT
3885829724,SALE
3885842465,IT
3888010447,SALE
3888010447,BD
3888011325,OTHR
3885841819,IT
3884836606,SALE
3884836606,BD
3885811763,SALE
3885811763,BD
3884939450,MGMT
3884939450,MNFC
3884437614,SALE
3884437614,BD
3885831840,HCPR
3884447492,HCPR
3888011044,SALE
3888011044,BD
3885833469,MGMT
3885833469,MNFC
3884814678,IT
3885825982,MGMT
3885825982,MNFC
3885843705,OTHR
3885828791,DSGN
3885828791,ART
3885828791,IT
3884439373,OTHR
3888009447,IT
3888009447,PRDM
3888009447,ENG
3884814729,FIN
3888014831,PRCH
3888014831,SUPL
3884939421,SALE
3884939421,BD
3885845144,ENG
3885845144,IT
3885838954,HCPR
3887840464,SALE
3887840464,BD
3888010741,OTHR
3887887820,BD
3887887820,SALE
3885823632,HCPR
3885834393,OTHR
3885834393,IT
3885834393,MGMT
3888011135,SALE
3888011135,BD
3885841816,IT
3885843707,ENG
3885843707,IT
3885833450,SALE
3885833450,BD
3884819126,HCPR
3887877844,MGMT
3887877844,MNFC
3884858495,HCPR
3887891194,IT
3887896132,OTHR
3887874030,HCPR
3884818270,OTHR
3884818272,HCPR
3885819129,OTHR
3887870703,PRJM
3887870703,IT
3885840835,PRJM
3885840835,IT
3885853525,HCPR
3887717882,TRNG
3887717882,MGMT
3887717882,CUST
3885843706,RSCH
3885843706,ANLS
3885843706,IT
3887883856,MGMT
3887883856,MNFC
3885854248,HR
3887877840,OTHR
3888010467,SALE
3888010467,BD
3887873206,HCPR
3887875140,SALE
3887875140,BD
3884830837,RSCH
3884830837,ANLS
3884830837,IT
3887872699,MGMT
3887872699,MNFC
3885817899,ENG
3885817899,IT
3884855686,HCPR
3884859325,HCPR
3887837856,DSGN
3887837856,ART
3887837856,IT
3887891195,IT
3888013993,HR
3885845146,DSGN
3885845146,ART
3885845146,IT
3885821949,IT
3887855939,SALE
3887855939,BD
3885863522,SALE
